txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-07-01,Friday,32.9928,5541
mq18481,2022-07-01,Friday,53.2534,12031
op18481,2022-07-01,Friday,31.6358,6702
qw23521,2022-07-01,Friday,30.2434,8355
uy26932,2022-07-01,Friday,14.809,3942
yt26932,2022-07-01,Friday,49.973,10818
ga23521,2022-07-02,Saturday,14.5966,2658
mq18481,2022-07-02,Saturday,13.5464,4698
op18481,2022-07-02,Saturday,7.433999999999999,1451
qw23521,2022-07-02,Saturday,11.6938,1642
uy26932,2022-07-02,Saturday,1.239,1369
yt26932,2022-07-02,Saturday,21.7946,3589
ga23521,2022-07-03,Sunday,12.4372,3352
mq18481,2022-07-03,Sunday,16.9094,3569
op18481,2022-07-03,Sunday,9.7822,1265
qw23521,2022-07-03,Sunday,8.342600000000001,1220
uy26932,2022-07-03,Sunday,15.7766,2915
yt26932,2022-07-03,Sunday,5.0268,3543
ga23521,2022-07-04,Monday,54.327200000000005,10362
mq18481,2022-07-04,Monday,33.7716,7715
op18481,2022-07-04,Monday,12.271999999999998,3506
qw23521,2022-07-04,Monday,45.2412,12204
uy26932,2022-07-04,Monday,50.362399999999994,9376
yt26932,2022-07-04,Monday,32.5208,5741
ga23521,2022-07-05,Tuesday,23.918599999999998,6465
mq18481,2022-07-05,Tuesday,33.3468,9551
op18481,2022-07-05,Tuesday,35.1522,9177
qw23521,2022-07-05,Tuesday,41.418,9873
uy26932,2022-07-05,Tuesday,22.1958,7007
yt26932,2022-07-05,Tuesday,53.631,13075
ga23521,2022-07-06,Wednesday,23.777,4807
mq18481,2022-07-06,Wednesday,61.891,9500
op18481,2022-07-06,Wednesday,60.2626,13772
qw23521,2022-07-06,Wednesday,41.6068,8021
uy26932,2022-07-06,Wednesday,16.413800000000002,3667
yt26932,2022-07-06,Wednesday,66.2688,14011
ga23521,2022-07-07,Thursday,43.187999999999995,6577
mq18481,2022-07-07,Thursday,73.278,15162
op18481,2022-07-07,Thursday,70.1746,15416
qw23521,2022-07-07,Thursday,36.2024,10884
uy26932,2022-07-07,Thursday,44.7574,10208
yt26932,2022-07-07,Thursday,47.2708,12748
ga23521,2022-07-08,Friday,44.190999999999995,9422
mq18481,2022-07-08,Friday,33.866,7946
op18481,2022-07-08,Friday,44.261799999999994,10665
qw23521,2022-07-08,Friday,39.9902,7277
uy26932,2022-07-08,Friday,56.757999999999996,10332
yt26932,2022-07-08,Friday,46.138000000000005,11301
ga23521,2022-07-09,Saturday,6.2186,2135
mq18481,2022-07-09,Saturday,21.5704,4816
op18481,2022-07-09,Saturday,19.965600000000002,6090
qw23521,2022-07-09,Saturday,23.9422,5683
uy26932,2022-07-09,Saturday,24.5912,5340
yt26932,2022-07-09,Saturday,13.782399999999999,2361
ga23521,2022-07-10,Sunday,8.1066,1129
mq18481,2022-07-10,Sunday,25.3582,4109
op18481,2022-07-10,Sunday,12.9682,3445
qw23521,2022-07-10,Sunday,14.2072,5267
uy26932,2022-07-10,Sunday,11.894400000000001,2776
yt26932,2022-07-10,Sunday,1.9941999999999998,1259
ga23521,2022-07-11,Monday,57.879,11733
mq18481,2022-07-11,Monday,42.9756,8914
op18481,2022-07-11,Monday,50.6338,14915
qw23521,2022-07-11,Monday,46.5392,15902
uy26932,2022-07-11,Monday,35.4236,10460
yt26932,2022-07-11,Monday,35.588800000000006,7470
ga23521,2022-07-12,Tuesday,89.8098,19328
mq18481,2022-07-12,Tuesday,54.1148,12944
op18481,2022-07-12,Tuesday,66.1862,18276
qw23521,2022-07-12,Tuesday,20.8152,4364
uy26932,2022-07-12,Tuesday,44.7338,9537
yt26932,2022-07-12,Tuesday,22.479,8425
ga23521,2022-07-13,Wednesday,42.102399999999996,9650
mq18481,2022-07-13,Wednesday,60.1918,12609
op18481,2022-07-13,Wednesday,33.2524,10202
qw23521,2022-07-13,Wednesday,26.4084,6849
uy26932,2022-07-13,Wednesday,38.763000000000005,9007
yt26932,2022-07-13,Wednesday,37.5122,11509
ga23521,2022-07-14,Thursday,11.1628,2855
mq18481,2022-07-14,Thursday,17.688200000000002,2690
op18481,2022-07-14,Thursday,26.668,6330
qw23521,2022-07-14,Thursday,13.3812,2787
qw23521,2022-07-15,Friday,9.475399999999999,1941
uy26932,2022-07-14,Thursday,28.5088,5780
yt26932,2022-07-14,Thursday,16.5672,3728
